target_id	length	eff_length	est_counts	tpm
AT1G19090.1	2509	2310	0	0
AT1G18320.1	699	500	4.44849	4.34722
AT5G11100.1	1709	1510	8	2.5887
AT4G35335.1	1280	1081	51	23.0523
AT1G60930.1	3876	3677	13	1.7275
AT1G17000.1	2351	2152	0	0
AT3G55270.1	3130	2931	99	16.504
AT4G16150.1	3181	2982	142	23.2675
AT3G18150.1	1370	1171	0	0
AT3G52310.1	2443	2244	2	0.435488
AT3G08943.1	3165	2966	228.684	37.6734
AT4G15950.1	814	615	10	7.94501
AT5G60900.1	2873	2674	3	0.548188
AT5G18710.1	1919	1720	2	0.56816
AT1G64460.1	2240	2041	59	14.1247
AT2G31100.1	1247	1048	0	0
AT1G60260.1	1634	1435	24	8.17201
AT2G06210.1	3579	3380	105	15.179
AT3G57180.1	2232	2033	48	11.5365
ATMG01320.1	922	723	2	1.35164
AT4G15130.1	1234	1035	26	12.2745
AT5G39100.1	808	609	0	0
AT4G16110.1	2666	2467	62	12.2798
AT5G26800.1	637	438	24	26.7736
AT4G16360.1	1685	1486	128	42.0882
ATMG00060.1	542	343	1	1.42454
AT1G76820.1	3857	3658	7.47128	0.997977
AT3G05780.1	2775	2576	0	0
AT1G24405.1	718	519	1	0.94146
AT2G27490.4	843	644	14.542	11.0333
AT2G27490.1	1367	1168	4.45795	1.86493
AT2G27490.3	1201	1002	0	0
AT2G27490.2	1381	1182	6.78501e-05	2.80481e-05
AT3G13276.1	269	70.019	0	0
AT1G71740.1	393	194	3	7.55595
AT1G52920.1	1351	1152	2	0.848295
AT2G17370.1	2273	2074	43	10.1305
AT4G13615.1	813	614	234	186.216
AT3G46680.1	1350	1151	0	0
AT1G70830.3	996	797	5.95693	3.65202
AT1G70830.2	1329	1130	0	0
AT1G70830.5	787	588	0	0
AT1G70830.4	1393	1194	11.9243	4.87976
AT1G70830.1	1331	1132	169.659	73.232
AT2G34090.3	1458	1259	0.000688454	0.000267189
AT2G34090.2	1616	1417	0	0
AT2G34090.1	1700	1501	11.9993	3.90611
AT2G34090.4	1521	1322	0	0
AT2G34090.5	1425	1226	0	0
AT1G65541.1	340	141	0	0
AT2G01050.1	1548	1349	0	0
AT2G07751.1	357	158	0	0
AT4G20565.1	789	590	0	0
AT1G61566.1	551	352	0	0
AT4G29530.2	1148	949	0.172975	0.089061
AT4G29530.1	1144	945	8.82702	4.56407
AT5G09225.1	780	581	39	32.7988
AT1G21100.1	1545	1346	3.90868	1.41891
AT1G73150.1	2150	1951	10.0567	2.51865
AT1G73150.2	1956	1757	1.9433	0.540427
AT3G51750.3	654	455	0	0
AT3G51750.1	563	364	8	10.7389
AT3G51750.2	560	361	0	0
AT1G07010.1	1622	1423	147	50.4756
AT1G07010.2	1556	1357	0	0
AT1G07010.3	1542	1343	0	0
AT1G32080.1	2009	1810	852	230.001
AT1G16710.5	6346	6147	42.3616	3.36727
AT1G16710.7	5822	5623	57.4277	4.99026
AT1G16710.1	6018	5819	7.80975e-08	6.5578e-09
AT1G16710.4	6502	6303	0.708776	0.0549454
AT1G16710.8	6455	6256	44.5019	3.47577
AT1G16710.10	6023	5824	3.17728e-08	2.66565e-09
AT1G16710.6	6107	5908	4.24447e-07	3.51036e-08
AT1G16710.3	6619	6420	0	0
AT1G16710.9	6549	6350	1.30205e-05	1.0019e-06
AT1G16710.2	5783	5584	0	0
AT1G07590.1	2407	2208	2113.83	467.78
AT5G49170.1	1172	973	5	2.51088
AT2G40240.1	1614	1415	6	2.07188
AT4G30380.2	537	338	0	0
AT4G30380.1	486	287	0	0
AT2G20619.1	201	17.0167	0	0
AT3G05830.2	1420	1221	0	0
AT3G05830.1	1358	1159	23	9.69647
AT3G05830.3	1524	1325	0	0
AT5G11430.6	3634	3435	3.03303	0.431439
AT5G11430.2	2601	2402	2.04799	0.416605
AT5G11430.4	2791	2592	0	0
AT5G11430.3	3322	3123	0	0
AT5G11430.5	2373	2174	0	0
AT5G11430.1	3147	2948	65.919	10.9258
AT1G20530.1	2269	2070	1	0.236047
AT4G23170.1	1824	1625	11.9318	3.58776
AT1G44780.2	1644	1445	0	0
AT1G44780.1	1647	1448	15	5.06165
AT1G60880.1	606	407	0	0
AT1G06160.1	1086	887	0	0
AT3G07260.1	1204	1005	1.22575	0.595944
AT1G21090.1	1404	1205	39	15.8142
AT1G21090.2	1416	1217	0	0
AT1G76730.1	1500	1301	76	28.5434
AT1G03970.1	1190	991	24	11.8333
AT5G19160.1	2182	1983	6	1.47842
AT5G19160.2	2242	2043	0	0
AT3G49744.1	174	9.99669	0	0
AT5G28820.1	519	320	0	0
AT4G12530.1	730	531	0	0
AT4G20050.1	1924	1725	0	0
AT4G20050.5	1742	1543	0	0
AT4G20050.3	1800	1601	0	0
AT4G20050.2	1873	1674	0	0
AT4G20050.6	1732	1533	6.74565e-07	2.15006e-07
AT4G20050.7	1707	1508	3	0.972051
AT4G20050.4	1981	1782	0	0
AT5G53810.1	1574	1375	6	2.13215
AT2G28690.1	1117	918	11	5.8549
AT5G01530.1	1396	1197	7232	2952.12
AT3G62800.3	1283	1084	0	0
AT3G62800.1	1368	1169	0	0
AT3G62800.2	1297	1098	21	9.34515
ATCG00900.1	468	269	1.5	2.72464
AT3G11385.1	2459	2260	1	0.216203
AT5G07010.1	1779	1580	26	8.04055
AT3G63040.1	654	455	0	0
AT2G26570.2	2921	2722	0.000974434	0.000174918
AT2G26570.1	2941	2742	157.999	28.1551
AT3G05560.2	756	557	191.548	168.032
AT3G05560.3	841	642	174.467	132.784
AT3G05560.1	840	641	291.986	222.573
AT5G12080.3	2694	2495	28.2612	5.53464
AT5G12080.2	2805	2606	46.2215	8.6664
AT5G12080.1	2754	2555	1.51734	0.290176
AT1G50870.1	1191	992	0	0
AT2G20610.2	1748	1549	82.4378	26.0042
AT2G20610.1	1794	1595	221.562	67.8741
AT5G02940.2	2792	2593	0	0
AT5G02940.1	2920	2721	86.5697	15.5456
AT1G68430.1	945	746	6	3.9299
AT1G66550.2	856	657	0	0
AT1G66550.1	765	566	0	0
AT1G09380.1	1641	1442	0	0
AT3G48840.1	757	558	0	0
AT3G48840.2	667	468	0	0
AT5G61800.1	1629	1430	1	0.341691
AT5G01445.1	589	390	2	2.50573
AT4G35500.1	1975	1776	5.27003	1.4499
AT4G35500.2	1638	1439	12.73	4.32251
AT1G80310.1	1937	1738	75	21.0854
AT2G39400.2	1307	1108	13.2644	5.84947
AT2G39400.1	1394	1195	13.7356	5.6163
AT4G04990.1	1217	1018	5	2.39989
AT3G60530.1	1465	1266	72	27.7887
