target_id	length	eff_length	est_counts	tpm
AT1G19090.1	2509	2310	0	0
AT1G18320.1	699	500	4.86195	5.75149
AT5G11100.1	1709	1510	7	2.74196
AT4G35335.1	1280	1081	51	27.9052
AT1G60930.1	3876	3677	20	3.21719
AT1G17000.1	2351	2152	0	0
AT3G55270.1	3130	2931	130	26.2342
AT4G16150.1	3181	2982	123	24.3971
AT3G18150.1	1370	1171	0	0
AT3G52310.1	2443	2244	16	4.21733
AT3G08943.1	3165	2966	174.682	34.8352
AT4G15950.1	814	615	16	15.3881
AT5G60900.1	2873	2674	6	1.32718
AT5G18710.1	1919	1720	2	0.687768
AT1G64460.1	2240	2041	37	10.7226
AT2G31100.1	1247	1048	0	0
AT1G60260.1	1634	1435	91	37.5085
AT2G06210.1	3579	3380	118	20.6493
AT3G57180.1	2232	2033	34	9.89195
ATMG01320.1	922	723	0	0
AT4G15130.1	1234	1035	17	9.71513
AT5G39100.1	808	609	0	0
AT4G16110.1	2666	2467	71	17.0227
AT5G26800.1	637	438	25	33.7603
AT4G16360.1	1685	1486	109	43.3858
ATMG00060.1	542	343	0	0
AT1G76820.1	3857	3658	7.32679	1.18471
AT3G05780.1	2775	2576	0	0
AT1G24405.1	718	519	0	0
AT2G27490.4	843	644	7.85496	7.21437
AT2G27490.1	1367	1168	11.145	5.6439
AT2G27490.3	1201	1002	0	0
AT2G27490.2	1381	1182	0	0
AT3G13276.1	269	70.019	0	0
AT1G71740.1	393	194	1	3.04887
AT1G52920.1	1351	1152	1	0.513438
AT2G17370.1	2273	2074	37	10.552
AT4G13615.1	813	614	172	165.692
AT3G46680.1	1350	1151	0	0
AT1G70830.3	996	797	14.7259	10.9286
AT1G70830.2	1329	1130	0	0
AT1G70830.5	787	588	0	0
AT1G70830.4	1393	1194	23.0805	11.4335
AT1G70830.1	1331	1132	142.889	74.6606
AT2G34090.3	1458	1259	8	3.75841
AT2G34090.2	1616	1417	0	0
AT2G34090.1	1700	1501	0	0
AT2G34090.4	1521	1322	0	0
AT2G34090.5	1425	1226	0	0
AT1G65541.1	340	141	0	0
AT2G01050.1	1548	1349	0	0
AT2G07751.1	357	158	2.90311	10.8679
AT4G20565.1	789	590	0	0
AT1G61566.1	551	352	0	0
AT4G29530.2	1148	949	0.0676386	0.0421569
AT4G29530.1	1144	945	7.93236	4.9649
AT5G09225.1	780	581	30	30.5411
AT1G21100.1	1545	1346	110.869	48.7197
AT1G73150.1	2150	1951	10.0567	3.04887
AT1G73150.2	1956	1757	7.9433	2.67405
AT3G51750.3	654	455	0	0
AT3G51750.1	563	364	0.000176504	0.000286809
AT3G51750.2	560	361	1.99982	3.27661
AT1G07010.1	1622	1423	153	63.5956
AT1G07010.2	1556	1357	8.74147e-06	3.81017e-06
AT1G07010.3	1542	1343	0	0
AT1G32080.1	2009	1810	435	142.151
AT1G16710.5	6346	6147	8.12915e-08	7.82208e-09
AT1G16710.7	5822	5623	80.5178	8.46962
AT1G16710.1	6018	5819	0.000168356	1.71127e-05
AT1G16710.4	6502	6303	0	0
AT1G16710.8	6455	6256	48.9553	4.62853
AT1G16710.10	6023	5824	0.526752	0.0534965
AT1G16710.6	6107	5908	0	0
AT1G16710.3	6619	6420	0	0
AT1G16710.9	6549	6350	0	0
AT1G16710.2	5783	5584	0	0
AT1G07590.1	2407	2208	1782.02	477.368
AT5G49170.1	1172	973	3	1.82368
AT2G40240.1	1614	1415	2	0.836014
AT4G30380.2	537	338	0	0
AT4G30380.1	486	287	0	0
AT2G20619.1	201	17.0167	0	0
AT3G05830.2	1420	1221	0	0
AT3G05830.1	1358	1159	4.05422	2.06902
AT3G05830.3	1524	1325	23.9458	10.6894
AT5G11430.6	3634	3435	0	0
AT5G11430.2	2601	2402	0	0
